README FIRST
-----
Fields:

Registration date
Total usage time	(in hours)
Pets				(YES or NO)
Carpet score		(1 to 9)
Sent for repair		(YES or NO)
Failure date
Battery, Impact sensor and IR sensor status	(OK or Damage)
----
Registration date,Total usage time,Pets,Carpet score,Sent for repair,Failure date,Battery status,Impact status,IR status
22Feb2019,380,NO,2,NO,---,---,---,---
14Jan2018,578,YES,2,NO,---,---,---,---
10Sep2015,1738,NO,2,NO,---,---,---,---
10May2019,622,YES,3,NO,---,---,---,---
19Nov2017,599,NO,3,NO,---,---,---,---
30Dec2018,383,NO,4,NO,---,---,---,---
21Feb2015,1749,YES,2,NO,---,---,---,---
13Apr2016,2062,NO,3,NO,---,---,---,---
13Oct2018,493,NO,2,NO,---,---,---,---
24Feb2019,510,YES,2,NO,---,---,---,---
14Aug2017,2094,YES,2,NO,---,---,---,---
10Mar2018,456,YES,4,YES,25Aug2018,Damage,OK,OK
9Jun2017,1378,YES,1,NO,---,---,---,---
28Nov2017,1585,YES,5,YES,18Jun2019,Damage,OK,OK
3Jul2015,1500,NO,1,NO,---,---,---,---
17Mar2019,320,NO,8,NO,---,---,---,---
4Jan2017,1011,NO,3,NO,---,---,---,---
11Nov2018,281,NO,3,NO,---,---,---,---
4Oct2019,52,NO,6,NO,---,---,---,---
29Apr2016,2100,NO,5,NO,---,---,---,---
23Feb2019,493,YES,2,NO,---,---,---,---
8Apr2018,1280,YES,2,NO,---,---,---,---
29Dec2018,167,NO,5,NO,---,---,---,---
6Dec2015,1422,NO,2,NO,---,---,---,---
10Oct2018,777,YES,2,NO,---,---,---,---
5Sep2018,726,YES,3,NO,---,---,---,---
4Oct2018,484,NO,5,NO,---,---,---,---
30Aug2016,2248,YES,4,NO,---,---,---,---
16Apr2015,2188,NO,4,NO,---,---,---,---
16May2018,726,NO,1,NO,---,---,---,---
17Mar2015,2429,YES,6,NO,---,---,---,---
21Mar2018,503,NO,4,NO,---,---,---,---
1Jul2016,809,NO,4,NO,---,---,---,---
19Dec2016,770,NO,2,NO,---,---,---,---
14Aug2019,422,YES,1,NO,---,---,---,---
25May2018,1112,NO,2,NO,---,---,---,---
3Aug2018,708,YES,3,YES,21Feb2019,Damage,OK,OK
2Aug2018,1178,YES,2,NO,---,---,---,---
21Feb2016,1908,NO,2,NO,---,---,---,---
16Jan2017,1210,NO,5,NO,---,---,---,---
8Nov2017,902,NO,4,NO,---,---,---,---
25May2019,468,YES,3,NO,---,---,---,---
21Dec2017,872,NO,2,NO,---,---,---,---
4Aug2019,184,NO,4,NO,---,---,---,---
3Oct2016,1014,NO,1,NO,---,---,---,---
8Apr2016,1640,NO,3,NO,---,---,---,---
27Jul2018,818,NO,4,NO,---,---,---,---
3Feb2016,1168,NO,3,YES,11Jul2018,Damage,OK,OK
20Mar2017,1093,NO,4,NO,---,---,---,---
25Jun2018,545,NO,2,NO,---,---,---,---
14May2018,648,NO,3,NO,---,---,---,---
26Nov2015,1190,NO,1,NO,---,---,---,---
29Aug2018,263,NO,3,NO,---,---,---,---
19Aug2016,2420,YES,3,YES,28Dec2018,Damage,OK,OK
5Oct2016,878,NO,4,NO,---,---,---,---
11Dec2018,836,YES,2,NO,---,---,---,---
27Oct2016,2019,YES,6,YES,21Aug2018,Damage,OK,OK
1Jun2016,1563,NO,2,NO,---,---,---,---
20Apr2016,1673,YES,2,YES,3Oct2017,Damage,OK,OK
19Feb2015,601,NO,3,YES,1Jan2018,OK,OK,Damage
13Apr2018,487,NO,3,NO,---,---,---,---
25Sep2018,494,NO,7,NO,---,---,---,---
26Feb2018,662,NO,5,NO,---,---,---,---
10Apr2015,2096,NO,2,NO,---,---,---,---
20Aug2017,1192,NO,3,NO,---,---,---,---
10Jun2015,2548,YES,3,YES,11Oct2017,Damage,OK,OK
8May2016,1857,NO,3,NO,---,---,---,---
3Jan2015,1021,NO,6,YES,26Aug2018,Damage,OK,OK
14Jul2018,534,NO,2,NO,---,---,---,---
26Dec2018,421,NO,5,NO,---,---,---,---
3Sep2015,2861,YES,3,NO,---,---,---,---
30Dec2017,1171,YES,4,YES,12Aug2019,OK,OK,Damage
17Oct2016,2079,YES,2,YES,29Dec2019,Damage,OK,OK
23May2018,692,NO,2,NO,---,---,---,---
30Oct2016,1886,YES,3,YES,14Aug2018,Damage,OK,OK
2Jan2019,482,YES,5,NO,---,---,---,---
8Dec2019,27,NO,4,NO,---,---,---,---
1Jun2017,636,NO,4,NO,---,---,---,---
24May2015,1317,YES,2,YES,9Mar2017,OK,OK,Damage
3Sep2015,1450,NO,2,NO,---,---,---,---
22Jun2019,164,NO,2,NO,---,---,---,---
26Jul2018,506,NO,3,NO,---,---,---,---
16May2019,347,NO,2,NO,---,---,---,---
9Jul2019,225,NO,3,NO,---,---,---,---
21May2017,2122,YES,1,NO,---,---,---,---
2May2015,1102,NO,3,YES,24Nov2018,Damage,OK,OK
7Aug2018,1031,YES,2,NO,---,---,---,---
11May2016,1378,NO,3,NO,---,---,---,---
19Aug2016,1421,YES,4,YES,2Jan2018,Damage,OK,OK
4Dec2016,1306,NO,1,NO,---,---,---,---
26Aug2016,1248,NO,1,NO,---,---,---,---
30Jun2015,3150,YES,4,NO,---,---,---,---
27Nov2017,375,NO,3,NO,---,---,---,---
12Oct2018,373,NO,2,NO,---,---,---,---
2Aug2017,1567,YES,1,NO,---,---,---,---
16May2016,983,NO,3,NO,---,---,---,---
22Mar2017,1463,NO,4,NO,---,---,---,---
24Jun2019,272,NO,3,NO,---,---,---,---
10Aug2019,119,NO,3,NO,---,---,---,---
9Aug2017,2164,YES,1,NO,---,---,---,---
30Oct2018,522,NO,3,NO,---,---,---,---
1Nov2018,958,YES,4,NO,---,---,---,---
11Mar2019,460,NO,2,NO,---,---,---,---
14Sep2019,65,NO,2,NO,---,---,---,---
11Feb2017,1067,NO,3,NO,---,---,---,---
9Jan2018,1007,NO,4,NO,---,---,---,---
7Feb2016,2434,YES,2,NO,---,---,---,---
18Apr2019,182,NO,3,NO,---,---,---,---
21Aug2019,244,YES,2,NO,---,---,---,---
1Dec2017,961,NO,2,NO,---,---,---,---
18Apr2018,623,NO,4,NO,---,---,---,---
30Apr2015,712,NO,6,YES,21Apr2018,Damage,OK,OK
22Mar2016,1793,NO,3,NO,---,---,---,---
18Jul2017,1902,YES,1,NO,---,---,---,---
29Jul2017,1128,NO,4,NO,---,---,---,---
26Oct2018,288,NO,4,YES,4Nov2019,OK,OK,Damage
4May2016,2881,YES,1,YES,19Jul2019,Damage,OK,OK
9Jun2018,393,NO,2,NO,---,---,---,---
15Oct2017,1829,YES,1,NO,---,---,---,---
25Feb2017,1193,NO,1,NO,---,---,---,---
22Apr2019,132,NO,2,NO,---,---,---,---
23Jul2015,2051,NO,2,NO,---,---,---,---
31Jul2016,1350,YES,5,NO,---,---,---,---
15Sep2018,651,YES,4,NO,---,---,---,---
25Sep2017,1142,NO,2,NO,---,---,---,---
25Nov2015,2001,YES,2,YES,3Sep2018,Damage,OK,OK
29May2018,1424,YES,1,NO,---,---,---,---
12Jul2015,668,NO,4,YES,9Apr2017,OK,OK,Damage
10Jun2016,946,YES,2,NO,---,---,---,---
15Aug2018,548,YES,5,NO,---,---,---,---
24Mar2015,1182,NO,2,NO,---,---,---,---
18Jul2015,2440,YES,5,YES,17Jun2019,Damage,OK,OK
1Feb2017,1277,NO,2,NO,---,---,---,---
25Dec2017,531,NO,2,NO,---,---,---,---
27Dec2015,2746,YES,3,NO,---,---,---,---
4Jul2017,2144,YES,4,NO,---,---,---,---
14Feb2019,250,NO,4,NO,---,---,---,---
18Jun2015,2303,YES,2,YES,22Jun2017,Damage,OK,OK
8May2017,956,NO,2,NO,---,---,---,---
28May2019,339,NO,4,NO,---,---,---,---
6Mar2017,1884,YES,3,NO,---,---,---,---
20May2016,873,NO,4,NO,---,---,---,---
15Apr2015,1340,YES,3,YES,5Jun2016,Damage,OK,OK
4Jun2019,601,YES,6,NO,---,---,---,---
28Sep2015,3113,YES,2,YES,11Nov2018,Damage,OK,OK
2Aug2016,1567,NO,3,YES,15Jan2019,Damage,OK,OK
27May2018,722,NO,3,NO,---,---,---,---
31May2016,2710,YES,1,NO,---,---,---,---
14Feb2017,2041,YES,4,YES,9Aug2019,Damage,OK,OK
9Jun2017,447,NO,2,NO,---,---,---,---
16Mar2016,1141,YES,4,NO,---,---,---,---
19Oct2016,1020,YES,2,YES,13Jan2018,Damage,OK,OK
7May2015,1443,NO,2,NO,---,---,---,---
20Oct2016,1447,NO,3,NO,---,---,---,---
30Nov2019,50,YES,1,NO,---,---,---,---
14Dec2015,2411,NO,5,NO,---,---,---,---
12May2019,224,NO,3,NO,---,---,---,---
25Jul2015,237,NO,5,NO,---,---,---,---
21Dec2015,2385,NO,3,NO,---,---,---,---
26Aug2018,1140,YES,3,NO,---,---,---,---
8May2016,1431,NO,2,NO,---,---,---,---
19Jan2016,1199,NO,4,NO,---,---,---,---
29Nov2017,949,NO,3,NO,---,---,---,---
4Jun2015,1427,YES,3,YES,19Jan2017,Damage,OK,OK
11May2017,2562,YES,4,YES,7Dec2019,Damage,OK,OK
12Jul2016,1372,NO,3,NO,---,---,---,---
15Jun2019,195,NO,3,NO,---,---,---,---
22Jan2016,2063,YES,3,YES,31Jul2018,Damage,OK,OK
9Aug2017,443,NO,4,NO,---,---,---,---
26Jan2015,1979,NO,3,NO,---,---,---,---
19Aug2017,801,NO,5,NO,---,---,---,---
5Dec2016,209,YES,1,YES,4Feb2017,OK,OK,Damage
3Jan2015,3222,YES,1,YES,22Sep2019,OK,Damage,OK
31Oct2017,909,NO,5,NO,---,---,---,---
28Mar2017,727,NO,1,NO,---,---,---,---
29Jan2018,471,NO,3,NO,---,---,---,---
2Apr2015,1002,YES,2,YES,28Sep2017,OK,OK,Damage
6Apr2018,475,NO,3,NO,---,---,---,---
12Aug2016,625,NO,2,NO,---,---,---,---
17Oct2015,1670,NO,3,NO,---,---,---,---
22Jan2016,1303,NO,2,NO,---,---,---,---
10Nov2016,1588,YES,5,NO,---,---,---,---
15May2018,711,NO,5,NO,---,---,---,---
14Oct2015,1507,NO,4,NO,---,---,---,---
7Jan2017,343,YES,4,NO,---,---,---,---
24Apr2016,650,NO,4,YES,8Nov2018,OK,OK,Damage
30Sep2016,1334,NO,3,NO,---,---,---,---
26Jul2015,503,YES,3,YES,15Sep2016,OK,OK,Damage
19Jun2016,2038,YES,4,YES,10Dec2018,Damage,OK,OK
30Aug2015,1862,NO,5,NO,---,---,---,---
16Apr2017,1230,YES,5,YES,23Oct2019,Damage,OK,OK
5Sep2018,470,NO,6,NO,---,---,---,---
9Apr2015,2208,NO,3,NO,---,---,---,---
17Dec2016,2495,YES,3,NO,---,---,---,---
17Mar2019,449,NO,3,NO,---,---,---,---
27Dec2016,1346,NO,4,NO,---,---,---,---
13Apr2017,2214,YES,2,NO,---,---,---,---
16Oct2019,122,YES,4,NO,---,---,---,---
17Nov2018,479,NO,1,NO,---,---,---,---
20May2017,215,NO,3,NO,---,---,---,---
3Dec2019,33,NO,4,NO,---,---,---,---
23Jun2016,2494,YES,1,NO,---,---,---,---
28Nov2015,888,NO,2,YES,8Apr2018,OK,Damage,OK
11Nov2018,967,YES,1,NO,---,---,---,---
9May2019,220,NO,4,NO,---,---,---,---
25Jul2016,1368,NO,2,NO,---,---,---,---
28Jul2019,337,YES,1,NO,---,---,---,---
29Jul2019,228,YES,1,NO,---,---,---,---
14Jan2019,557,YES,6,NO,---,---,---,---
6Oct2016,942,NO,3,NO,---,---,---,---
18May2018,1229,YES,2,NO,---,---,---,---
6May2016,2295,YES,2,YES,8Aug2018,Damage,OK,OK
15Oct2019,77,NO,1,NO,---,---,---,---
10Aug2015,2081,YES,6,YES,4Feb2018,Damage,OK,OK
12Aug2016,1767,YES,3,NO,---,---,---,---
22Feb2018,721,NO,2,NO,---,---,---,---
17Mar2016,1317,NO,5,NO,---,---,---,---
23Aug2019,148,NO,5,NO,---,---,---,---
18Dec2017,506,NO,2,NO,---,---,---,---
21Oct2016,1561,YES,1,YES,29Aug2018,Damage,OK,OK
15Jan2018,1339,YES,2,NO,---,---,---,---
6Jan2018,1095,NO,3,NO,---,---,---,---
28May2019,230,NO,3,NO,---,---,---,---
25Feb2018,517,NO,5,NO,---,---,---,---
1May2019,284,NO,4,NO,---,---,---,---
12Aug2019,129,NO,3,NO,---,---,---,---
4Nov2017,540,NO,4,NO,---,---,---,---
25Sep2018,997,YES,3,NO,---,---,---,---
16Dec2016,974,NO,3,NO,---,---,---,---
16Sep2015,1231,NO,4,YES,12Aug2018,OK,OK,Damage
22Sep2019,127,NO,3,NO,---,---,---,---
19Mar2016,1167,NO,2,NO,---,---,---,---
10Feb2015,143,NO,1,NO,---,---,---,---
20Feb2016,2488,YES,3,NO,---,---,---,---
7Mar2016,1885,YES,4,NO,---,---,---,---
12Oct2017,790,NO,3,NO,---,---,---,---
25Apr2018,1063,YES,1,NO,---,---,---,---
29Jun2017,1263,NO,2,NO,---,---,---,---
31Jul2015,3127,YES,3,YES,29Jun2019,OK,Damage,OK
21Mar2018,694,NO,5,NO,---,---,---,---
19Feb2018,1389,YES,3,NO,---,---,---,---
11Apr2016,772,NO,6,NO,---,---,---,---
6Mar2016,894,YES,2,YES,20Oct2016,Damage,OK,OK
7Oct2016,679,NO,3,YES,10Oct2019,Damage,OK,OK
14Jul2016,1158,NO,2,NO,---,---,---,---
8Nov2018,380,NO,2,NO,---,---,---,---
22Feb2016,1488,YES,5,YES,16Apr2018,Damage,OK,OK
20Apr2017,1390,YES,4,NO,---,---,---,---
11Mar2019,312,NO,6,NO,---,---,---,---
13Apr2016,2310,YES,5,YES,2Feb2019,Damage,OK,OK
20Apr2017,876,NO,2,NO,---,---,---,---
4Mar2019,197,NO,6,NO,---,---,---,---
26Aug2016,2335,YES,3,YES,10Oct2018,Damage,OK,OK
11Jul2017,738,NO,3,NO,---,---,---,---
10Nov2018,147,NO,2,NO,---,---,---,---
25Nov2015,1581,NO,5,NO,---,---,---,---
18Dec2019,13,NO,6,NO,---,---,---,---
13Oct2019,27,NO,3,NO,---,---,---,---
2Aug2017,1919,YES,4,NO,---,---,---,---
10Aug2015,1498,NO,4,NO,---,---,---,---
25Oct2017,446,YES,2,YES,16Feb2018,Damage,OK,OK
10Mar2015,2114,YES,4,YES,23Nov2017,Damage,OK,OK
9Oct2019,75,NO,4,NO,---,---,---,---
23Jan2015,284,YES,4,YES,21May2015,OK,OK,Damage
18Nov2017,469,NO,3,NO,---,---,---,---
17Sep2018,633,NO,3,NO,---,---,---,---
11Dec2015,1279,YES,2,YES,25Jan2017,Damage,OK,OK
26Jun2016,1330,NO,3,NO,---,---,---,---
27Mar2017,2270,YES,3,YES,8Aug2019,Damage,OK,OK
15Dec2016,1956,YES,1,NO,---,---,---,---
14Apr2018,548,NO,4,NO,---,---,---,---
26Jan2018,1272,YES,4,NO,---,---,---,---
23Aug2018,524,NO,2,NO,---,---,---,---
8Aug2016,2460,YES,6,YES,2Feb2019,Damage,OK,OK
21Sep2015,1809,NO,2,NO,---,---,---,---
9Apr2015,1975,NO,3,NO,---,---,---,---
11Oct2019,88,NO,5,NO,---,---,---,---
16Feb2015,1999,YES,5,YES,30Jul2017,Damage,OK,OK
9Aug2019,246,YES,3,NO,---,---,---,---
31Oct2016,1112,NO,2,NO,---,---,---,---
29Jun2018,461,NO,2,NO,---,---,---,---
5Nov2017,985,NO,3,NO,---,---,---,---
2Jun2016,820,NO,4,NO,---,---,---,---
21Jan2015,1089,NO,3,NO,---,---,---,---
8Feb2017,1931,YES,3,NO,---,---,---,---
26Jan2018,1856,YES,4,NO,---,---,---,---
9Jan2015,3009,NO,3,NO,---,---,---,---
26Apr2018,390,NO,2,NO,---,---,---,---
31Jul2015,1263,NO,1,NO,---,---,---,---
6Jul2019,92,NO,3,NO,---,---,---,---
4Jul2015,601,NO,4,YES,25Aug2016,OK,OK,Damage
29Oct2017,765,NO,3,NO,---,---,---,---
4Apr2016,1658,NO,6,NO,---,---,---,---
27Nov2017,737,NO,2,NO,---,---,---,---
6Oct2019,227,YES,2,NO,---,---,---,---
21Aug2018,1076,YES,6,YES,18Jul2019,Damage,OK,OK
8Jan2017,533,NO,5,NO,---,---,---,---
18Jun2017,1077,NO,3,NO,---,---,---,---
12May2018,1144,YES,1,NO,---,---,---,---
4May2017,1122,NO,3,NO,---,---,---,---
24Jun2016,1540,NO,2,NO,---,---,---,---
24Sep2017,955,YES,2,NO,---,---,---,---
4Sep2018,424,NO,7,NO,---,---,---,---
9Nov2018,427,NO,4,NO,---,---,---,---
27Jan2019,299,NO,3,NO,---,---,---,---
31Aug2016,940,NO,6,NO,---,---,---,---
16Jun2019,239,NO,4,NO,---,---,---,---
17Jul2016,2476,YES,5,NO,---,---,---,---
29Jun2018,1210,YES,4,NO,---,---,---,---
20Dec2015,2372,YES,3,NO,---,---,---,---
19Nov2019,39,NO,3,NO,---,---,---,---
5Nov2015,2197,NO,6,NO,---,---,---,---
8Nov2015,1189,NO,3,NO,---,---,---,---
20Feb2018,1429,YES,7,NO,---,---,---,---
2Sep2018,1195,YES,2,NO,---,---,---,---
11Sep2019,146,NO,4,NO,---,---,---,---
3Nov2018,510,NO,5,NO,---,---,---,---
31Oct2015,1646,YES,4,YES,5Sep2017,Damage,OK,OK
26May2016,2874,YES,4,YES,2Aug2019,Damage,OK,OK
15Feb2017,478,NO,3,NO,---,---,---,---
9Mar2019,302,NO,2,NO,---,---,---,---
4Oct2015,1886,NO,4,NO,---,---,---,---
30Apr2018,506,NO,2,NO,---,---,---,---
2Feb2019,204,NO,4,NO,---,---,---,---
15May2018,727,NO,4,NO,---,---,---,---
16Nov2016,2658,YES,5,YES,16Sep2019,Damage,OK,OK
3Jun2019,226,NO,2,NO,---,---,---,---
8Nov2017,517,NO,4,NO,---,---,---,---
8May2017,854,NO,2,NO,---,---,---,---
7Mar2018,1662,YES,3,YES,27Aug2019,Damage,OK,OK
14Sep2018,1514,YES,3,NO,---,---,---,---
24Sep2015,2030,NO,1,NO,---,---,---,---
12Jan2017,1939,YES,3,YES,14Jan2019,Damage,OK,OK
16Apr2017,1959,YES,3,YES,13Jun2019,Damage,OK,OK
16Oct2017,418,NO,3,NO,---,---,---,---
18Jan2017,2039,YES,3,NO,---,---,---,---
28Dec2019,7,YES,3,NO,---,---,---,---
2Oct2018,1077,YES,2,NO,---,---,---,---
11Dec2015,2958,YES,1,NO,---,---,---,---
18Jul2015,720,NO,5,NO,---,---,---,---
20Sep2018,566,NO,5,NO,---,---,---,---
30Jul2015,2041,NO,4,NO,---,---,---,---
28Dec2019,3,NO,5,NO,---,---,---,---
21Nov2018,647,YES,1,NO,---,---,---,---
15Jan2017,567,NO,2,NO,---,---,---,---
23May2016,1106,NO,3,NO,---,---,---,---
13Oct2019,28,NO,3,NO,---,---,---,---
9Apr2016,2099,NO,2,YES,19Dec2019,Damage,OK,OK
8Aug2015,2517,YES,2,NO,---,---,---,---
22Sep2017,1001,NO,3,NO,---,---,---,---
14May2018,1041,YES,3,NO,---,---,---,---
14Nov2016,975,NO,2,NO,---,---,---,---
26Sep2015,2499,YES,4,NO,---,---,---,---
5Nov2019,109,YES,2,NO,---,---,---,---
7May2015,2268,YES,6,YES,8Jul2018,Damage,OK,OK
4Jan2018,1700,YES,2,NO,---,---,---,---
22Dec2015,2525,YES,3,YES,15Apr2019,OK,Damage,OK
27Oct2017,1944,YES,3,NO,---,---,---,---
27Sep2015,2524,NO,4,NO,---,---,---,---
13Feb2019,136,NO,2,NO,---,---,---,---
24Aug2016,1791,NO,4,NO,---,---,---,---
19May2017,1286,NO,4,NO,---,---,---,---
13Dec2015,1966,YES,3,YES,2Aug2019,Damage,OK,OK
6Aug2017,465,NO,2,YES,22May2018,OK,OK,Damage
23Jun2017,2174,YES,1,NO,---,---,---,---
16Sep2015,1143,NO,5,NO,---,---,---,---
7Oct2018,566,NO,6,NO,---,---,---,---
20Jan2015,3228,YES,5,YES,25Dec2019,Damage,OK,OK
21Nov2015,2037,YES,3,NO,---,---,---,---
27Jul2015,1198,NO,2,NO,---,---,---,---
7Sep2017,849,NO,3,NO,---,---,---,---
22Sep2017,1340,NO,4,NO,---,---,---,---
8Feb2015,2613,NO,3,NO,---,---,---,---
3Oct2015,1318,YES,5,YES,16Mar2017,Damage,OK,OK
12Oct2017,752,NO,4,NO,---,---,---,---
9Oct2018,818,YES,2,YES,20Sep2019,Damage,OK,OK
22Apr2018,1185,YES,4,YES,31May2019,Damage,OK,OK
30Oct2018,383,NO,2,NO,---,---,---,---
18Sep2015,1535,NO,5,NO,---,---,---,---
6Dec2017,1316,NO,5,NO,---,---,---,---
15Jul2018,550,NO,3,NO,---,---,---,---
6Feb2017,765,YES,3,NO,---,---,---,---
15Dec2019,29,YES,4,NO,---,---,---,---
7Jun2015,771,NO,5,NO,---,---,---,---
29Sep2017,1155,NO,2,NO,---,---,---,---
22Nov2016,1697,NO,2,NO,---,---,---,---
8Dec2016,1593,NO,3,NO,---,---,---,---
17Aug2016,1829,YES,3,YES,21May2018,Damage,OK,OK
25Dec2019,6,NO,4,NO,---,---,---,---
24Sep2018,333,NO,3,NO,---,---,---,---
24Nov2018,648,YES,4,NO,---,---,---,---
10Jul2019,128,NO,4,NO,---,---,---,---
2May2018,1078,YES,3,NO,---,---,---,---
17Jun2018,404,NO,6,NO,---,---,---,---
24Sep2019,153,NO,3,NO,---,---,---,---
25Aug2015,867,NO,2,YES,25Feb2017,OK,OK,Damage
2Oct2019,140,YES,5,NO,---,---,---,---
6Oct2019,91,NO,5,NO,---,---,---,---
10Jun2015,1548,NO,4,NO,---,---,---,---
21Mar2019,326,YES,4,NO,---,---,---,---
14Oct2018,314,NO,5,NO,---,---,---,---
10Dec2017,678,NO,4,NO,---,---,---,---
10Jul2016,1085,NO,3,YES,5May2019,Damage,OK,OK
25Jan2015,1977,YES,1,YES,28Dec2019,OK,OK,OK
13Aug2016,1280,YES,4,NO,---,---,---,---
7Nov2015,1917,YES,2,NO,---,---,---,---
4Feb2016,2723,YES,4,YES,30Jun2019,Damage,OK,OK
13May2017,355,NO,2,YES,24Jan2019,OK,OK,Damage
15Jan2015,1546,NO,2,YES,28Jan2019,OK,OK,OK
19Nov2018,520,NO,3,NO,---,---,---,---
16Dec2018,203,NO,3,NO,---,---,---,---
6Aug2015,1149,NO,5,NO,---,---,---,---
20Dec2015,1838,YES,7,YES,29Oct2017,Damage,OK,OK
30Dec2019,2,NO,2,NO,---,---,---,---
8Jul2019,188,NO,3,NO,---,---,---,---
10Jan2015,2699,YES,2,YES,17Sep2017,Damage,OK,OK
14Aug2018,294,NO,3,YES,17Jun2019,OK,OK,Damage
12Jan2017,2268,YES,2,YES,30Aug2019,Damage,OK,OK
11Feb2015,1152,YES,2,YES,6Jan2016,Damage,OK,OK
27Dec2016,1375,NO,3,NO,---,---,---,---
21Nov2015,3162,YES,5,NO,---,---,---,---
7Apr2016,2054,YES,2,YES,16Feb2018,Damage,OK,OK
27Jul2019,104,NO,2,NO,---,---,---,---
15Nov2016,990,NO,3,NO,---,---,---,---
1Jul2016,1968,NO,2,NO,---,---,---,---
8Nov2018,733,YES,2,NO,---,---,---,---
27Jan2015,2357,NO,2,NO,---,---,---,---
15Dec2015,1956,NO,2,NO,---,---,---,---
30Dec2019,1,NO,3,NO,---,---,---,---
4Feb2015,2608,YES,3,YES,3Dec2018,Damage,OK,OK
3Aug2018,637,NO,3,NO,---,---,---,---
8Sep2017,457,NO,3,NO,---,---,---,---
15Dec2016,448,NO,2,YES,30Jan2018,OK,OK,Damage
30Jun2017,1200,NO,1,NO,---,---,---,---
13Dec2019,22,YES,4,NO,---,---,---,---
22Jun2017,2084,YES,3,NO,---,---,---,---
19Nov2019,26,NO,4,NO,---,---,---,---
27Sep2018,506,NO,4,NO,---,---,---,---
3Jun2018,1167,YES,3,NO,---,---,---,---
22Jun2017,1045,NO,2,NO,---,---,---,---
10Apr2015,3284,YES,2,YES,25Apr2019,OK,Damage,OK
27Nov2018,491,NO,1,NO,---,---,---,---
24Sep2016,696,NO,4,YES,25Aug2018,OK,OK,Damage
10Feb2015,2952,YES,2,YES,4Nov2019,Damage,OK,OK
11Feb2018,1104,NO,4,NO,---,---,---,---
25Aug2015,1490,YES,1,YES,14Feb2017,Damage,OK,OK
25Nov2015,2085,NO,3,NO,---,---,---,---
8Mar2018,1553,YES,4,NO,---,---,---,---
5Nov2015,3083,YES,2,NO,---,---,---,---
23Oct2016,2171,NO,5,NO,---,---,---,---
8Feb2016,1863,NO,3,NO,---,---,---,---
20Feb2019,664,YES,4,NO,---,---,---,---
7Jan2015,2700,YES,2,YES,14Jan2019,OK,OK,Damage
15Oct2015,2059,YES,2,NO,---,---,---,---
8Sep2019,219,YES,2,NO,---,---,---,---
29Oct2018,530,NO,3,NO,---,---,---,---
9Feb2019,691,YES,4,NO,---,---,---,---
4Apr2016,1064,NO,2,NO,---,---,---,---
3Aug2015,2550,NO,2,NO,---,---,---,---
31Aug2015,2431,NO,4,NO,---,---,---,---
4Feb2017,1169,NO,3,NO,---,---,---,---
30Oct2016,1040,NO,4,NO,---,---,---,---
22Sep2015,2230,YES,2,NO,---,---,---,---
7Aug2017,1998,YES,4,NO,---,---,---,---
23Sep2018,255,NO,4,YES,19May2019,OK,OK,Damage
20Jul2015,901,YES,4,YES,1Apr2016,Damage,OK,OK
5Nov2016,920,YES,4,YES,7Jan2018,Damage,OK,OK
11Feb2016,1127,NO,2,NO,---,---,---,---
26Jun2019,189,NO,4,NO,---,---,---,---
14Jul2015,2263,YES,4,YES,16Jul2018,Damage,OK,OK
13Mar2019,340,NO,3,NO,---,---,---,---
24Mar2019,593,YES,4,NO,---,---,---,---
19Feb2015,1195,YES,5,YES,10Sep2016,Damage,OK,OK
29Oct2018,274,NO,5,NO,---,---,---,---
16May2016,2504,YES,3,YES,5Sep2018,OK,Damage,OK
3Oct2015,294,YES,3,NO,---,---,---,---
30Jun2015,1396,NO,3,NO,---,---,---,---
22Jul2018,374,NO,5,NO,---,---,---,---
13Apr2017,1174,YES,5,NO,---,---,---,---
29Dec2016,1311,NO,4,NO,---,---,---,---
29Jan2018,637,NO,3,NO,---,---,---,---
31Aug2015,1887,NO,3,NO,---,---,---,---
28May2015,612,NO,3,YES,18Jul2018,OK,OK,Damage
25Apr2018,706,NO,3,NO,---,---,---,---
20Dec2018,1258,YES,3,NO,---,---,---,---
12Nov2016,993,NO,3,NO,---,---,---,---
29Dec2018,522,YES,3,NO,---,---,---,---
20Jan2019,323,NO,2,NO,---,---,---,---
28Apr2019,291,NO,2,NO,---,---,---,---
10Feb2017,1071,NO,1,NO,---,---,---,---
25Jun2015,992,NO,4,NO,---,---,---,---
31May2019,245,NO,2,NO,---,---,---,---
11Jun2016,2285,YES,3,NO,---,---,---,---
11Jul2016,1644,NO,4,NO,---,---,---,---
30Jan2019,288,NO,4,NO,---,---,---,---
7Dec2017,836,NO,2,NO,---,---,---,---
25Apr2018,520,NO,4,NO,---,---,---,---
22Mar2018,286,NO,3,NO,---,---,---,---
21Feb2016,1000,YES,2,YES,31Aug2017,OK,OK,Damage
18Jan2018,1674,YES,3,NO,---,---,---,---
7Jun2017,848,NO,4,NO,---,---,---,---
25Nov2017,591,NO,6,NO,---,---,---,---
23Jan2019,421,NO,1,NO,---,---,---,---
22Jun2017,1224,YES,2,YES,27Jun2018,Damage,OK,OK
30May2015,1593,NO,1,NO,---,---,---,---
26Apr2017,2054,YES,2,NO,---,---,---,---
28Dec2017,977,YES,5,YES,16Oct2018,Damage,OK,OK
27Jul2019,318,YES,5,NO,---,---,---,---
29Mar2015,1292,NO,6,NO,---,---,---,---
2Feb2019,284,YES,4,NO,---,---,---,---
